Time, TOTAL R : R : State0,FREE R : R : State0,BOUND R : R : State0,TOTAL R : R : State1,FREE R : R : State1,BOUND R : R : State1,TOTAL R : L : State0,FREE R : L : State0,BOUND R : L : State0,TOTAL R : Anchor : Anchor,FREE R : Anchor : Anchor,BOUND R : Anchor : Anchor,TOTAL Adapter : A : State0,FREE Adapter : A : State0,BOUND Adapter : A : State0,TOTAL Adapter : L : State0,FREE Adapter : L : State0,BOUND Adapter : L : State0,
0.0,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
1.00009999999987E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
2.0000999999993522E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
3.0000999999988347E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
4.000099999998317E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
5.000099999998435E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
6.000000000003338E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
7.000000000008241E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
8.000000000013144E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
9.000000000018047E-4,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.001000000000002041,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.001100000000001447,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.0012000000000008532,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.0013000000000002593,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.0014000099999996653,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.0015000099999990715,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.0016000099999984776,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.0017000099999978837,12,12,0,0,0,0,6,6,0,6,6,0,14,14,0,7,7,0,
0.0018000099999972898,12,11,1,0,0,0,6,6,0,6,6,0,14,13,1,7,7,0,
0.001900009999996696,12,11,1,0,0,0,6,6,0,6,6,0,14,13,1,7,7,0,
0.002000009999996102,12,11,1,0,0,0,6,6,0,6,6,0,14,13,1,7,7,0,
0.002100009999995508,12,11,1,0,0,0,6,6,0,6,6,0,14,13,1,7,7,0,
0.0022000099999949143,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0023000099999943204,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0024000099999937265,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0025000099999931327,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0026000099999925388,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.002700009999991945,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.002800009999991351,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.002900009999990757,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0030000099999901633,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0031000099999895694,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0032000099999889755,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0033000099999883816,12,10,2,0,0,0,6,6,0,6,6,0,14,12,2,7,7,0,
0.0034000099999877877,12,9,3,0,0,0,6,6,0,6,6,0,14,11,3,7,7,0,
0.003500009999987194,12,9,3,0,0,0,6,6,0,6,6,0,14,11,3,7,7,0,
0.0036000099999866,12,9,3,0,0,0,6,6,0,6,6,0,14,11,3,7,7,0,
0.003700009999986006,12,9,3,0,0,0,6,6,0,6,6,0,14,11,3,7,7,0,
