Molecule,R,Site Index,0,Site Type, R
Time, Free, Bound,State0,State1,BindingReaction0,
0.0,6,0,6,0,0,
1.00009999999987E-4,6,0,6,0,0,
2.0000999999993522E-4,6,0,6,0,0,
3.0000999999988347E-4,6,0,6,0,0,
4.000099999998317E-4,6,0,6,0,0,
5.000099999998435E-4,6,0,6,0,0,
6.000000000003338E-4,6,0,6,0,0,
7.000000000008241E-4,6,0,6,0,0,
8.000000000013144E-4,6,0,6,0,0,
9.000000000018047E-4,6,0,6,0,0,
0.001000000000002041,6,0,6,0,0,
0.001100000000001447,6,0,6,0,0,
0.0012000000000008532,6,0,6,0,0,
0.0013000000000002593,6,0,6,0,0,
0.0014000099999996653,6,0,6,0,0,
0.0015000099999990715,6,0,6,0,0,
0.0016000099999984776,6,0,6,0,0,
0.0017000099999978837,6,0,6,0,0,
0.0018000099999972898,6,0,6,0,0,
0.001900009999996696,6,0,6,0,0,
0.002000009999996102,6,0,6,0,0,
0.002100009999995508,6,0,6,0,0,
0.0022000099999949143,5,1,6,0,1,
0.0023000099999943204,5,1,6,0,1,
0.0024000099999937265,5,1,6,0,1,
0.0025000099999931327,5,1,6,0,1,
0.0026000099999925388,5,1,6,0,1,
0.002700009999991945,5,1,6,0,1,
0.002800009999991351,5,1,6,0,1,
0.002900009999990757,5,1,6,0,1,
0.0030000099999901633,5,1,6,0,1,
0.0031000099999895694,5,1,6,0,1,
0.0032000099999889755,5,1,6,0,1,
0.0033000099999883816,5,1,6,0,1,
0.0034000099999877877,4,2,6,0,2,
0.003500009999987194,4,2,6,0,2,
0.0036000099999866,4,2,6,0,2,
0.003700009999986006,4,2,6,0,2,
0.003800009999985412,4,2,6,0,2,
0.0039000099999848183,4,2,6,0,2,
0.0040000099999842244,4,2,6,0,2,
0.004100009999983631,4,2,6,0,2,
0.004200009999983037,4,2,6,0,2,
0.004300009999982443,4,2,6,0,2,
0.004400009999981849,4,2,6,0,2,
0.004500009999981255,4,2,6,0,2,
0.004600009999980661,4,2,6,0,2,
0.004700009999980067,4,2,6,0,2,
0.004800009999979473,4,2,6,0,2,
0.0049000099999788795,4,2,6,0,2,
0.005000009999978286,4,2,6,0,2,
0.005100009999977692,4,2,6,0,2,
0.005200009999977098,4,2,6,0,2,
0.005300009999976504,4,2,6,0,2,
0.00540000999997591,4,2,6,0,2,
0.005500009999975316,4,2,6,0,2,
0.005600009999974722,4,2,6,0,2,
0.0057000099999741285,4,2,6,0,2,
0.005800009999973535,4,2,6,0,2,
0.005900009999972941,4,2,6,0,2,
0.006000009999972347,4,2,6,0,2,
0.006100009999971753,4,2,6,0,2,
0.006200009999971159,4,2,6,0,2,
0.006300009999970565,4,2,6,0,2,
0.006400009999969971,4,2,6,0,2,
0.0065000099999693774,4,2,6,0,2,
0.0066000099999687836,4,2,6,0,2,
0.00670000999996819,4,2,6,0,2,
0.006800009999967596,4,2,6,0,2,
0.006900009999967002,4,2,6,0,2,
0.007000009999966408,4,2,6,0,2,
0.007100009999965814,4,2,6,0,2,
0.00720000999996522,4,2,6,0,2,
0.007300009999964626,4,2,6,0,2,
0.0074000099999640325,4,2,6,0,2,
0.007500009999963439,4,2,6,0,2,
0.007600009999962845,4,2,6,0,2,
0.007700009999962251,4,2,6,0,2,
0.007800009999961657,4,2,6,0,2,
0.007900009999961063,4,2,6,0,2,
0.00800000999996047,4,2,6,0,2,
0.008100009999959875,4,2,6,0,2,
0.008200009999959281,4,2,6,0,2,
0.008300009999958688,4,2,6,0,2,
0.008400009999958094,4,2,6,0,2,
0.0085000099999575,4,2,6,0,2,
0.008600009999956906,4,2,6,0,2,
0.008700009999956312,4,2,6,0,2,
0.008800009999955718,4,2,6,0,2,
0.008900009999955124,4,2,6,0,2,
0.00900000999995453,4,2,6,0,2,
0.009100009999953937,4,2,6,0,2,
0.009200009999953343,4,2,6,0,2,
0.009300009999952749,4,2,6,0,2,
0.009400009999952155,4,2,6,0,2,
0.009500009999951561,4,2,6,0,2,
0.009600009999950967,4,2,6,0,2,
0.009700009999950373,4,2,6,0,2,
0.00980000999994978,4,2,6,0,2,
0.009900009999949185,4,2,6,0,2,
0.010000009999948592,4,2,6,0,2,

Molecule,R,Site Index,1,Site Type, Anchor
Time, Free, Bound,Anchor,
0.0,6,0,6,
1.00009999999987E-4,6,0,6,
2.0000999999993522E-4,6,0,6,
3.0000999999988347E-4,6,0,6,
4.000099999998317E-4,6,0,6,
5.000099999998435E-4,6,0,6,
6.000000000003338E-4,6,0,6,
7.000000000008241E-4,6,0,6,
8.000000000013144E-4,6,0,6,
9.000000000018047E-4,6,0,6,
0.001000000000002041,6,0,6,
